cik,ticker,name,sic,sic_description,state_of_incorporation,exchanges,hq_street,hq_city,hq_state_or_country,hq_postcode,hq_address
1373715,NOW,"ServiceNow, Inc.",7372,Services-Prepackaged Software,DE,NYSE,2225 LAWSON LANE,SANTA CLARA,CA,95054,"2225 LAWSON LANE, SANTA CLARA, CA, 95054"
936468,LMT,LOCKHEED MARTIN CORP,3760,Guided Missiles & Space Vehicles & Parts,MD,NYSE,6801 ROCKLEDGE DR,BETHESDA,MD,20817,"6801 ROCKLEDGE DR, BETHESDA, MD, 20817"
80661,PGR,PROGRESSIVE CORP/OH/,6331,"Fire, Marine & Casualty Insurance",OH,NYSE,300 NORTH COMMONS BLVD.,MAYFIELD VILLAGE,OH,44143,"300 NORTH COMMONS BLVD., MAYFIELD VILLAGE, OH, 44143"
64040,SPGI,S&P Global Inc.,7320,"Services-Consumer Credit Reporting, Collection Agencies",NY,NYSE,55 WATER STREET,NEW YORK,NY,10041,"55 WATER STREET, NEW YORK, NY, 10041"
76334,PH,Parker-Hannifin Corp,3490,Miscellaneous Fabricated Metal Products,OH,NYSE,6035 PARKLAND BOULEVARD,CLEVELAND,OH,44124-4141,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, 44124-4141"
310764,SYK,STRYKER CORP,3841,Surgical & Medical Instruments & Apparatus,MI,NYSE,1941 STRYKER WAY,PORTAGE,MI,49002,"1941 STRYKER WAY, PORTAGE, MI, 49002"
24741,GLW,CORNING INC /NY,3357,Drawing & Insulating of  Nonferrous Wire,NY,NYSE,ONE RIVERFRONT PLAZA,CORNING,NY,14831,"ONE RIVERFRONT PLAZA, CORNING, NY, 14831"
1335730,MFG,MIZUHO FINANCIAL GROUP INC,6021,National Commercial Banks,,NYSE|OTC,"1-5-5, OTEMACHI","CHIYODA-KU, TOKYO",M0,100-8176,"1-5-5, OTEMACHI, CHIYODA-KU, TOKYO, M0, 100-8176"
1737806,PDD,PDD Holdings Inc.,7389,"Services-Business Services, NEC",E9,Nasdaq,"FIRST FLOOR, 25 ST STEPHEN'S GREEN",DUBLIN 2,,,"FIRST FLOOR, 25 ST STEPHEN'S GREEN, DUBLIN 2"
829224,SBUX,STARBUCKS CORP,5810,Retail-Eating & Drinking Places,WA,Nasdaq,P O BOX 34067,SEATTLE,WA,98124-1067,"P O BOX 34067, SEATTLE, WA, 98124-1067"
1303523,BTI,British American Tobacco p.l.c.,2111,Cigarettes,,NYSE|OTC,GLOBE HOUSE,LONDON,,,"GLOBE HOUSE, 4 TEMPLE PLACE, LONDON"
1144967,HDB,HDFC BANK LTD,6029,"Commercial Banks, NEC",K7,NYSE,"'HDFC BANK HOUSE', SENAPATI BAPAT ROAD",MUMBAI,,,"'HDFC BANK HOUSE', SENAPATI BAPAT ROAD, LOWER PAREL (WEST), MUMBAI INDIA, MUMBAI"
927971,BMO,BANK OF MONTREAL /CAN/,6029,"Commercial Banks, NEC",A6,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|CBOE|CBOE|NYSE|NYSE|CBOE|CBOE|NYSE|NYSE|NYSE|NYSE|NYSE|CBOE|NYSE|NYSE,1 FIRST CANADIAN PLACE,TORONTO,A6,M5X 1A1,"1 FIRST CANADIAN PLACE, TORONTO, A6, M5X 1A1"
1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,1311,Crude Petroleum & Natural Gas,D5,NYSE|NYSE,AVENIDA REPUBLICA DO CHILE 65,RIO DE JANERIO RJ BR,,,"AVENIDA REPUBLICA DO CHILE 65, RIO DE JANERIO RJ BR"
64803,CVS,CVS HEALTH Corp,5912,Retail-Drug Stores and Proprietary Stores,DE,NYSE,ONE CVS DR.,WOONSOCKET,RI,02895,"ONE CVS DR., WOONSOCKET, RI, 02895"
1613103,MDT,Medtronic plc,3845,Electromedical & Electrotherapeutic Apparatus,,NYSE,BUILDING TWO PARKMORE BUSINESS PARK WEST,GALWAY,,H91 4K49,"BUILDING TWO PARKMORE BUSINESS PARK WEST, GALWAY, H91 4K49"
1559720,ABNB,"Airbnb, Inc.",7340,Services-To Dwellings & Other Buildings,DE,Nasdaq,888 BRANNAN ST.,SAN FRANCISCO,CA,94103,"888 BRANNAN ST., SAN FRANCISCO, CA, 94103"
1467373,ACN,Accenture plc,7389,"Services-Business Services, NEC",L2,NYSE,1 GRAND CANAL SQUARE,DUBLIN,L2,D2,"1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, L2, D2"
764180,MO,"ALTRIA GROUP, INC.",2111,Cigarettes,VA,NYSE,6601 WEST BROAD STREET,RICHMOND,VA,23230,"6601 WEST BROAD STREET, RICHMOND, VA, 23230"
1640147,SNOW,Snowflake Inc.,7372,Services-Prepackaged Software,DE,NYSE,135 CONSTITUTION DRIVE,MENLO PARK,CA,94025,"135 CONSTITUTION DRIVE, MENLO PARK, CA, 94025"
313807,BP,BP PLC,2911,Petroleum Refining,X0,NYSE|OTC|OTC,1 ST JAMES'S SQUARE,LONDON,X0,SW1Y 4PD,"1 ST JAMES'S SQUARE, LONDON, X0, SW1Y 4PD"
1262039,FTNT,"Fortinet, Inc.",3577,"Computer Peripheral Equipment, NEC",DE,Nasdaq,909 KIFER ROAD,SUNNYVALE,CA,94086,"909 KIFER ROAD, SUNNYVALE, CA, 94086"
8670,ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,DE,Nasdaq,ONE ADP BOULVARD,ROSELAND,NJ,07068,"ONE ADP BOULVARD, ROSELAND, NJ, 07068"
831259,FCX,FREEPORT-MCMORAN INC,1000,Metal Mining,DE,NYSE,4340 E. COTTON CENTER BLVD.,PHOENIX,AZ,85040,"4340 E. COTTON CENTER BLVD., SUITE 110, PHOENIX, AZ, 85040"
1639920,SPOT,Spotify Technology S.A.,4832,Radio Broadcasting Stations,N4,NYSE,33 BOULEVARD PRINCE HENRI,LUXEMBOURG,,,"33 BOULEVARD PRINCE HENRI, LUXEMBOURG"
1390777,BNY,Bank of New York Mellon Corp,6022,State Commercial Banks,DE,NYSE|NYSE,240 GREENWICH STREET,NEW YORK,NY,10286,"240 GREENWICH STREET, NEW YORK, NY, 10286"
796343,ADBE,ADOBE INC.,7372,Services-Prepackaged Software,DE,Nasdaq,345 PARK AVE,SAN JOSE,CA,95110-2704,"345 PARK AVE, SAN JOSE, CA, 95110-2704"
895728,ENB,ENBRIDGE INC,4610,Pipe Lines (No Natural Gas),A0,NYSE|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC,200 425 - 1ST STREET SW,CALGARY,A0,T2P 3L8,"200 425 - 1ST STREET SW, CALGARY, A0, T2P 3L8"
1121404,SNY,Sanofi,2834,Pharmaceutical Preparations,I0,Nasdaq|OTC,46 AVENUE DE LA GRANDE ARMEE,PARIS,I0,75017,"46 AVENUE DE LA GRANDE ARMEE, PARIS, I0, 75017"
2809,AEM,AGNICO EAGLE MINES LTD,1040,Gold and Silver Ores,A6,NYSE,145 KING STREET EAST,TORONTO,A6,M5C 2Y7,"145 KING STREET EAST, SUITE 400, TORONTO, A6, M5C 2Y7"
1690820,CVNA,CARVANA CO.,5500,Retail-Auto Dealers & Gasoline Stations,DE,NYSE,300 E. RIO SALADO PARKWAY,TEMPE,AZ,85281,"300 E. RIO SALADO PARKWAY, TEMPE, AZ, 85281"
9631,BNS,BANK OF NOVA SCOTIA,6022,State Commercial Banks,Z4,NYSE,40 TEMPERANCE STREET,TORONTO,A6,M5H 0B4,"40 TEMPERANCE STREET, TORONTO, A6, M5H 0B4"
1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,6029,"Commercial Banks, NEC",,NYSE|OTC,81 BAY STREET,TORONTO,A6,M5J 0E7,"81 BAY STREET, CIBC SQUARE, TORONTO, A6, M5J 0E7"
4281,HWM,Howmet Aerospace Inc.,3350,Rolling Drawing & Extruding of  Nonferrous Metals,DE,NYSE,201 ISABELLA STREET,PITTSBURGH,PA,15212-5872,"201 ISABELLA STREET, SUITE 200, PITTSBURGH, PA, 15212-5872"
1017413,CNQ,CANADIAN NATURAL RESOURCES Ltd,1311,Crude Petroleum & Natural Gas,A0,NYSE,400 4 AVENUE SW,CALGARY,,T2P 0J4,"400 4 AVENUE SW, CALGARY, T2P 0J4"
92122,SO,SOUTHERN CO,4911,Electric Services,DE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,"30 IVAN ALLEN JR. BLVD., N.W.",ATLANTA,GA,30308,"30 IVAN ALLEN JR. BLVD., N.W., ATLANTA, GA, 30308"
1101239,EQIX,EQUINIX INC,6798,Real Estate Investment Trusts,DE,Nasdaq,ONE LAGOON DRIVE,REDWOOD CITY,CA,94065,"ONE LAGOON DRIVE, REDWOOD CITY, CA, 94065"
1131399,GSK,GSK plc,2834,Pharmaceutical Preparations,X0,NYSE|OTC,79 NEW OXFORD STREET,LONDON,,WC1A 1DG,"79 NEW OXFORD STREET, LONDON, WC1A 1DG"
40533,GD,GENERAL DYNAMICS CORP,3730,Ship & Boat Building & Repairing,DE,NYSE,11011 SUNSET HILLS RD,RESTON,VA,20190,"11011 SUNSET HILLS RD, RESTON, VA, 20190"
896878,INTU,INTUIT INC.,7372,Services-Prepackaged Software,DE,Nasdaq,2700 COAST AVENUE,MOUNTAIN VIEW,CA,94043,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, 94043"
927653,MCK,MCKESSON CORP,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",DE,NYSE,6555 STATE HIGHWAY 161,IRVING,TX,75039,"6555 STATE HIGHWAY 161, IRVING, TX, 75039"
1510295,MPC,Marathon Petroleum Corp,2911,Petroleum Refining,DE,NYSE,539 SOUTH MAIN STREET,FINDLAY,OH,45840-3229,"539 SOUTH MAIN STREET, FINDLAY, OH, 45840-3229"
1477333,NET,"Cloudflare, Inc.",7372,Services-Prepackaged Software,DE,NYSE,101 TOWNSEND ST.,SAN FRANCISCO,CA,94107,"101 TOWNSEND ST., SAN FRANCISCO, CA, 94107"
1751008,APP,AppLovin Corp,7370,"Services-Computer Programming, Data Processing, Etc.",DE,Nasdaq,1100 PAGE MILL RD,PALO ALTO,CA,94304-1047,"1100 PAGE MILL RD, PALO ALTO, CA, 94304-1047"
1140625,EQNR,EQUINOR ASA,2911,Petroleum Refining,,NYSE|OTC,FORUSBEEN 50,STAVANGER NORWAY,Q8,N 4035,"FORUSBEEN 50, STAVANGER NORWAY, Q8, N 4035"
1035002,VLO,VALERO ENERGY CORP/TX,2911,Petroleum Refining,DE,NYSE,P.O. BOX 696000,SAN ANTONIO,TX,78269-6000,"P.O. BOX 696000, SAN ANTONIO, TX, 78269-6000"
1156375,CME,CME GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,Nasdaq,20 S. WACKER DR.,CHICAGO,IL,60606,"20 S. WACKER DR., CHICAGO, IL, 60606"
1039765,ING,ING GROEP NV,6029,"Commercial Banks, NEC",P7,NYSE|OTC,PO BOX 1800,AMSTERDAM,P7,1000 BV,"PO BOX 1800, AMSTERDAM, P7, 1000 BV"
1792789,DASH,"DoorDash, Inc.",7389,"Services-Business Services, NEC",DE,Nasdaq,303 2ND STREET,SAN FRANCISCO,CA,94107,"303 2ND STREET, SOUTH TOWER, 8TH FLOOR, SAN FRANCISCO, CA, 94107"
1404912,KKR,KKR & Co. Inc.,6282,Investment Advice,,NYSE|NYSE|NYSE|NYSE,30 HUDSON YARDS,NEW YORK,NY,10001,"30 HUDSON YARDS, NEW YORK, NY, 10001"
1099590,MELI,MERCADOLIBRE INC,7389,"Services-Business Services, NEC",,Nasdaq,DR. LUIS BONAVITA 1294 OF. 1733 TOWER II,MONTEVIDEO,X3,11300,"DR. LUIS BONAVITA 1294 OF. 1733 TOWER II, MONTEVIDEO, X3, 11300"
1466258,TT,Trane Technologies plc,3822,Auto Controls For Regulating Residential & Comml Environments,L2,NYSE,170/175 LAKEVIEW DRIVE,CO. DUBLIN,L2,00000,"170/175 LAKEVIEW DRIVE, AIRSIDE BUSINESS PARK, SWORDS,, CO. DUBLIN, L2, 00000"
1674101,VRT,Vertiv Holdings Co,3679,"Electronic Components, NEC",DE,NYSE,505 N. CLEVELAND AVE.,WESTERVILLE,OH,43082,"505 N. CLEVELAND AVE., WESTERVILLE, OH, 43082"
713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC.",6021,National Commercial Banks,PA,NYSE,THE TOWER AT PNC PLAZA,PITTSBURGH,PA,15222-2401,"THE TOWER AT PNC PLAZA, 300 FIFTH AVENUE, PITTSBURGH, PA, 15222-2401"
36104,USB,US BANCORP \DE\,6021,National Commercial Banks,DE,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE,U.S. BANCORP,MINNEAPOLIS,MN,55402,"U.S. BANCORP, 200 S. SIXTH ST., MINNEAPOLIS, MN, 55402"
1868275,CEG,Constellation Energy Corp,4911,Electric Services,PA,Nasdaq,1310 POINT STREET,BALTIMORE,MD,21231,"1310 POINT STREET, BALTIMORE, MD, 21231"
1534701,PSX,Phillips 66,2911,Petroleum Refining,DE,NYSE,2331 CITYWEST BLVD.,HOUSTON,TX,77042,"2331 CITYWEST BLVD., HOUSTON, TX, 77042"
1166691,CMCSA,COMCAST CORP,4841,Cable & Other Pay Television Services,PA,Nasdaq|NYSE,ONE COMCAST CENTER,PHILADELPHIA,PA,19103-2838,"ONE COMCAST CENTER, PHILADELPHIA, PA, 19103-2838"
277948,CSX,CSX CORP,4011,"Railroads, Line-Haul Operating",VA,Nasdaq,500 WATER STREET,JACKSONVILLE,FL,32202,"500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, 32202"
865752,MNST,Monster Beverage Corp,2086,Bottled & Canned Soft Drinks & Carbonated Waters,,Nasdaq,1 MONSTER WAY,CORONA,CA,92879,"1 MONSTER WAY, CORONA, CA, 92879"
1326160,DUK,Duke Energy CORP,4931,Electric & Other Services Combined,DE,NYSE|NYSE|NYSE|NYSE|OTC,525 SOUTH TRYON STREET,CHARLOTTE,NC,28202-1803,"525 SOUTH TRYON STREET, CHARLOTTE, NC, 28202-1803"
1783879,HOOD,"Robinhood Markets, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",DE,Nasdaq,85 WILLOW ROAD,MENLO PARK,CA,94025,"85 WILLOW ROAD, MENLO PARK, CA, 94025"
1122411,ASX,"ASE Technology Holding Co., Ltd.",3674,Semiconductors & Related Devices,F5,NYSE,"26, CHIN 3RD RD.",KAOHSIUNG,,811,"26, CHIN 3RD RD., NANZIH DISTRICT, KAOHSIUNG, 811"
2039784,MGCLY,"Midea Group Co., Ltd./ADR",,,F4,OTC,"MIDEA NEW HEADQUARTER BUILDING, NO. 6","FOSHAN, GUANGDONG",F4,528311,"MIDEA NEW HEADQUARTER BUILDING, NO. 6, MIDEA AVENUE, BEIJIAO TOWN, SHUNDE DIST, FOSHAN, GUANGDONG, F4, 528311"
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,7011,Hotels & Motels,DE,Nasdaq,7750 WISCONSIN AVENUE,BETHESDA,MD,20814,"7750 WISCONSIN AVENUE, BETHESDA, MD, 20814"
1001085,BN,BROOKFIELD Corp /ON/,6512,Opeators of  Nonresidential Buildings,A6,NYSE|OTC|OTC|OTC|OTC|OTC|OTC|OTC|OTC|NYSE|NYSE|OTC|OTC|OTC|OTC|OTC|OTC,"BROOKFIELD PLACE, 181 BAY ST, STE 100",TORONTO,A6,M5J2T3,"BROOKFIELD PLACE, 181 BAY ST, STE 100, PO BOX 762, TORONTO, A6, M5J2T3"
1050915,PWR,"QUANTA SERVICES, INC.",1731,Electrical Work,DE,NYSE,2727 NORTH LOOP WEST,HOUSTON,TX,77008-1044,"2727 NORTH LOOP WEST, HOUSTON, TX, 77008-1044"
860730,HCA,"HCA Healthcare, Inc.",8062,"Services-General Medical & Surgical Hospitals, NEC",,NYSE,ONE PARK PLZ,NASHVILLE,TN,37203,"ONE PARK PLZ, NASHVILLE, TN, 37203"
62709,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",6411,"Insurance Agents, Brokers & Service",DE,NYSE,1166 AVENUE OF THE AMERICAS,NEW YORK,NY,10036,"1166 AVENUE OF THE AMERICAS, NEW YORK, NY, 10036"
66740,MMM,3M CO,3841,Surgical & Medical Instruments & Apparatus,DE,NYSE,3M CENTER,ST PAUL,MN,55144-1000,"3M CENTER, BLDG. 220-9E-02, ST PAUL, MN, 55144-1000"
1571949,ICE,"Intercontinental Exchange, Inc.",6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,NYSE,"5660 NEW NORTHSIDE DRIVE,",ATLANTA,GA,30328,"5660 NEW NORTHSIDE DRIVE,, THIRD FLOOR, ATLANTA, GA, 30328"
312069,BCS,BARCLAYS PLC,6029,"Commercial Banks, NEC",X0,NYSE|OTC,1 CHURCHILL PLACE,LONDON,X0,E14 5HP,"1 CHURCHILL PLACE, CANARY WHARF, LONDON, X0, E14 5HP"
823768,WM,WASTE MANAGEMENT INC,4953,Refuse Systems,DE,NYSE,"800 CAPITOL STREET, STE 3000",HOUSTON,TX,77002,"800 CAPITOL STREET, STE 3000, HOUSTON, TX, 77002"
1059556,MCO,MOODYS CORP /DE/,7320,"Services-Consumer Credit Reporting, Collection Agencies",DE,NYSE,7 WORLD TRADE CENTER,NEW YORK,NY,10007,"7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, 10007"
1160106,LYG,Lloyds Banking Group plc,6029,"Commercial Banks, NEC",X0,NYSE|OTC|OTC,25 GRESHAM STREET,LONDON,X0,EC2V 7HN,"25 GRESHAM STREET, LONDON, X0, EC2V 7HN"
2098326,SNHIY,"Sany Heavy Industries Co., Ltd./ADR",,,F4,OTC,120 BROADWAY,NEW YORK,NY,10271,"120 BROADWAY, 32ND FLOOR, NEW YORK, NY, 10271"
32604,EMR,EMERSON ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),MO,NYSE,8027 FORSYTH BLVD,ST LOUIS,MO,63105,"8027 FORSYTH BLVD, ST LOUIS, MO, 63105"
1156039,ELV,"Elevance Health, Inc.",6324,Hospital & Medical Service Plans,IN,NYSE,220 VIRGINIA AVENUE,INDIANAPOLIS,IN,46204,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, 46204"
1090727,UPS,UNITED PARCEL SERVICE INC,4210,Trucking & Courier Services (No Air),DE,NYSE,55 GLENLAKE PARKWAY NE,ATLANTA,GA,30328,"55 GLENLAKE PARKWAY NE, ATLANTA, GA, 30328"
107263,WMB,"WILLIAMS COMPANIES, INC.",4922,Natural Gas Transmission,DE,NYSE,ONE WILLIAMS CTR,TULSA,OK,74172,"ONE WILLIAMS CTR, TULSA, OK, 74172"
1169486,TKOMY,"TOKIO MARINE HOLDINGS, INC.",6331,"Fire, Marine & Casualty Insurance",,OTC|OTC,2-6-4 OTEMACHI,"CHIYODA-KU, TOKYO",,100-0004,"2-6-4 OTEMACHI, CHIYODA-KU, TOKYO, 100-0004"
813672,CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,DE,Nasdaq,2655 SEELY AVENUE BLDG 5,SAN JOSE,CA,95134,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, 95134"
833444,JCI,Johnson Controls International plc,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,L2,NYSE,ONE ALBERT QUAY,CORK,L2,00000,"ONE ALBERT QUAY, ALBERT QUAY, CORK, L2, 00000"
872589,REGN,"REGENERON PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,NY,Nasdaq,777 OLD SAW MILL RIVER ROAD,TARRYTOWN,NY,10591,"777 OLD SAW MILL RIVER ROAD, TARRYTOWN, NY, 10591"
89800,SHW,SHERWIN WILLIAMS CO,5200,"Retail-Building Materials, Hardware, Garden Supply",OH,NYSE,1 SHERWIN WAY,CLEVELAND,OH,44113,"1 SHERWIN WAY, CLEVELAND, OH, 44113"
895564,BAESY,BAE SYSTEMS PLC /FI/,,,X0,OTC|OTC,6 CARLTON GARDENS,LONDON,X0,SW1Y 5AD,"6 CARLTON GARDENS, STIRLING SQUARE, LONDON, X0, SW1Y 5AD"
1063761,SPG,SIMON PROPERTY GROUP INC.,6798,Real Estate Investment Trusts,IN,NYSE|NYSE,225 WEST WASHINGTON STREET,INDIANAPOLIS,IN,46204-3438,"225 WEST WASHINGTON STREET, INDIANAPOLIS, IN, 46204-3438"
1937926,BAM,Brookfield Asset Management Ltd.,6282,Investment Advice,A1,NYSE,BROOKFIELD PLACE,NEW YORK,NY,,"BROOKFIELD PLACE, 225 LIBERTY STREET, 8TH FLOOR, NEW YORK, NY"
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,"Railroads, Line-Haul Operating",Z4,NYSE,7550 OGDEN DALE ROAD S.E.,CALGARY ALBERTA,A0,T2C 4X9,"7550 OGDEN DALE ROAD S.E., CALGARY ALBERTA, A0, T2C 4X9"
1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,4922,Natural Gas Transmission,DE,NYSE|OTC,1100 LOUISIANA 10TH FLOOR,HOUSTON,TX,77002,"1100 LOUISIANA 10TH FLOOR, HOUSTON, TX, 77002"
1132597,ITUB,Itau Unibanco Holding S.A.,6022,State Commercial Banks,D5,NYSE,"PC. ALFREDO EGYDIO DE SOUZA ARANHA, 100",SAO PAULO,D5,00000,"PC. ALFREDO EGYDIO DE SOUZA ARANHA, 100, TORRE AE, 3 ANDAR, CEP 04344-902, SAO PAULO, D5, 00000"
1053507,AMT,AMERICAN TOWER CORP /MA/,6798,Real Estate Investment Trusts,DE,NYSE,222 BERKELEY STREET,BOSTON,MA,02116,"222 BERKELEY STREET, BOSTON, MA, 02116"
723254,CTAS,CINTAS CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",WA,Nasdaq,6800 CINTAS BLVD,CINCINNATI,OH,45262,"6800 CINTAS BLVD, P O BOX 625737, CINCINNATI, OH, 45262"
1107457,IFNNY,INFINEON TECHNOLOGIES AG,3674,Semiconductors & Related Devices,DE,OTC,AM CAMPEON 1-12,"NEUBIBERG, MUNICH",2M,D-85579,"AM CAMPEON 1-12, NEUBIBERG, MUNICH, 2M, D-85579"
1103982,MDLZ,"Mondelez International, Inc.",2000,Food and Kindred Products,IL,Nasdaq,905 WEST FULTON MARKET,CHICAGO,IL,60607,"905 WEST FULTON MARKET, SUITE 200, CHICAGO, IL, 60607"
1561550,DDOG,"Datadog, Inc.",7372,Services-Prepackaged Software,NV,Nasdaq,"620 EIGHTH AVENUE, 45TH FLOOR",NEW YORK,NY,10018,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, 10018"
1004315,NGG,NATIONAL GRID PLC,4922,Natural Gas Transmission,,NYSE|OTC|OTC|OTC|OTC|OTC,1-3 STRAND,LONDON,X0,WC2N 5EH,"1-3 STRAND, LONDON, X0, WC2N 5EH"
49826,ITW,ILLINOIS TOOL WORKS INC,3560,General Industrial Machinery & Equipment,DE,NYSE,155 HARLEM AVENUE,GLENVIEW,IL,60025,"155 HARLEM AVENUE, GLENVIEW, IL, 60025"
31462,ECL,ECOLAB INC.,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",DE,NYSE,1 ECOLAB PLACE,SAINT PAUL,MN,55102,"1 ECOLAB PLACE, SAINT PAUL, MN, 55102"
87347,SLB,SLB LIMITED/NV,1389,"Oil & Gas Field Services, NEC",P8,NYSE,5599 SAN FELIPE,HOUSTON,TX,77056,"5599 SAN FELIPE, 17TH FLOOR, HOUSTON, TX, 77056"
1002242,E,ENI SPA,1311,Crude Petroleum & Natural Gas,L6,NYSE|OTC,PIAZZALE ENRICO MATTEI 1,ROME ITALY,,00144,"PIAZZALE ENRICO MATTEI 1, ROME ITALY, 00144"
68505,MSI,"Motorola Solutions, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,DE,NYSE,500 W. MONROE ST.,CHICAGO,IL,60661,"500 W. MONROE ST., CHICAGO, IL, 60661"
311337,SU,SUNCOR ENERGY INC,2911,Petroleum Refining,A0,NYSE,P.O. BOX 2844,CALGARY,A0,T2P 3E3,"P.O. BOX 2844, 150 - 6TH AVENUE S.W., CALGARY, A0, T2P 3E3"
702165,NSC,NORFOLK SOUTHERN CORP,4011,"Railroads, Line-Haul Operating",VA,NYSE,650 W PEACHTREE STREET NW,ATLANTA,GA,30308,"650 W PEACHTREE STREET NW, ATLANTA, GA, 30308"
1110646,NTES,"NetEase, Inc.",7372,Services-Prepackaged Software,E9,Nasdaq|OTC,"RM 802, 8/F, CHINA LIFE CENTRE, TOWER A","KOWLOON, HONG KONG",,000000,"RM 802, 8/F, CHINA LIFE CENTRE, TOWER A, ONE HARBOURGATE, NO. 18 HUNG LUEN ROAD, KOWLOON, HONG KONG, 000000"
26172,CMI,CUMMINS INC,3510,Engines & Turbines,IN,NYSE,500 JACKSON ST,COLUMBUS,IN,47202-3005,"500 JACKSON ST, BOX 3005 MAIL CODE 93050, COLUMBUS, IN, 47202-3005"
756894,B,BARRICK MINING CORP,1040,Gold and Silver Ores,A1,NYSE,"BROOKFIELD PLACE, TD CANADA TRUST TOWER",TORONTO,,M5J 2S1,"BROOKFIELD PLACE, TD CANADA TRUST TOWER, 161 BAY STREET SUITE 3700, TORONTO, M5J 2S1"
1467858,GM,General Motors Co,3711,Motor Vehicles & Passenger Car Bodies,,NYSE,1240 WOODWARD AVENUE,DETROIT,MI,48265,"1240 WOODWARD AVENUE, DETROIT, MI, 48265"
821189,EOG,EOG RESOURCES INC,1311,Crude Petroleum & Natural Gas,DE,NYSE,"1111 BAGBY, SKY LOBBY 2",HOUSTON,TX,77002,"1111 BAGBY, SKY LOBBY 2, HOUSTON, TX, 77002"
884887,RCL,ROYAL CARIBBEAN CRUISES LTD,4400,Water Transportation,,NYSE,1050 CARIBBEAN WAY,MIAMI,FL,33132,"1050 CARIBBEAN WAY, MIAMI, FL, 33132"
1858681,APO,"Apollo Global Management, Inc.",6282,Investment Advice,DE,NYSE|NYSE,"9 WEST 57TH STREET, 42ND FLOOR",NEW YORK,NY,10019,"9 WEST 57TH STREET, 42ND FLOOR, NEW YORK, NY, 10019"
1048911,FDX,FEDEX CORP,4513,Air Courier Services,DE,NYSE,942 SOUTH SHADY GROVE ROAD,MEMPHIS,TN,38120-,"942 SOUTH SHADY GROVE ROAD, MEMPHIS, TN, 38120-"
1133421,NOC,NORTHROP GRUMMAN CORP /DE/,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",,NYSE,2980 FAIRVIEW PARK DRIVE,FALLS CHURCH,VA,22042,"2980 FAIRVIEW PARK DRIVE, C/O NORTHROP GRUMMAN CORP, FALLS CHURCH, VA, 22042"
86312,TRV,"TRAVELERS COMPANIES, INC.",6331,"Fire, Marine & Casualty Insurance",MN,NYSE,385 WASHINGTON ST,SAINT PAUL,MN,55102,"385 WASHINGTON ST, SAINT PAUL, MN, 55102"
16868,CNI,CANADIAN NATIONAL RAILWAY CO,4011,"Railroads, Line-Haul Operating",A8,NYSE,935 DE LA GAUCHETIERE ST W,CANADA,A8,H3B 2M9,"935 DE LA GAUCHETIERE ST W, MONTREAL QUEBEC, CANADA, A8, H3B 2M9"
745732,ROST,"ROSS STORES, INC.",5651,Retail-Family Clothing Stores,DE,Nasdaq,5130 HACIENDA DRIVE,DUBLIN,CA,94568,"5130 HACIENDA DRIVE, DUBLIN, CA, 94568"
